,gid,uid,nutrition_subgroup,food_type,description,weight,unit,ingredients,project_name,rgbd_file_names,nutrition_facts_sources,quality,quality_comments,merged,started,finished,qa,texture_sources,textured,start
105,50,a93b8601-fb71-495a-ba77-c03a6e37ec73,ice cream and frozen dairy desserts,ice cream,Compliments Vanilla Ice Cream,97.0,g,"['cream, sugars, mono- and diglycerides, etc']",Project11192023141214,['50_icecream_2'],"['IMG_7079', 'IMG_7080']",3.0,"great texture, detail",,13:51:52,14:21:55,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  very good, missing bottom but we cannot\nrotate melting ice-cream\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]","['IMG_7069', 'IMG_7070', 'IMG_7071', 'IMG_7072', 'IMG_7073']",,
106,57,e8062be7-dea1-4394-96fb-fad4adf9717a,plant-based protein foods,beans (bowl),baked beans in a bowl,52.0,g,[],Project11272023151834,['57_bakedbeans_0'],"['IMG_7207', 'IMG_7208', 'IMG_7209']",3.0,"perfect, and textured too (just needed 1 scan)",True,15:27:59,15:40:29,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  very good\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]","['IMG_7191', 'IMG_7192', 'IMG_7193', 'IMG_7194', 'IMG_7195']",True,
107,44,e897b886-1238-4733-a940-e66c9c522a89,yeast breads,yeast bread,"one slice of italian-style crispy yeast bread, oblong in shape",32.0,g,[],Project11052023163726,"['44_yeastbread_4_0', '44_yeastbread_4_1']",['IMG_6926'],3.0,perfect slice!,,16:09:45,16:45:18,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  very good\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]",,,
108,2,10eea083-08b3-4c11-a6af-b0f4438a9e9d,bananas,banana,,196.0,g,,Project09152023153115,"['2_banana_1_0', '2_banana_1_1']",,3.0,,,,,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: no unique-frame markers, capture might be insufficient for 3d reconstruction\ndue to the person performing the capture not having represented all sides of the object.\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]",,,
111,4,5fa54b42-2631-4076-b43b-dece66f13e5b,carrots,carrot,baby carrots,13.0,g,,Project09172023112527,"['4_carrot_0_0', '4_carrot_0_0']",,1.0,"terrible quality, doesn't merge. need to try with toothpicks later",,,14:48:13,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': False, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'Model quality: not merged, very sparse point cloud\n', 'model_merge_required': True, 'model_texture_required': True, 'accepted': False}]",,,14:24
113,0,fbcd0f00-7cfa-4506-a7f5-dd350ec22d54,apple,apple,Red apple,222.0,g,,0_apple_2,"['2023-09-13--19-50-11', '2023-09-13--19-49-55']",,,,,,,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: no unique-frame markers\nModel quality: \n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]",,,
114,16,62301514-ca53-435f-90e5-2a7069dcdab8,plant-based protein foods,almond,a singular almond,2.0,g,[],Project02152024225224,"['16_almond_4_0', '16_almond_4_1']",['IMG_4334'],3.0,"Good capture quality, texture a bit too smooth. Revopoint didn't manage automatic merge",False,23:02:15,23:14:47,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  very good\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]","['IMG_4335', 'IMG_4336']",False,
118,9,aaa6d2f8-c14d-41c5-adef-71192973f45f,tomatoes (whole),tomatoes (whole),"ripe and smooth whole red tomato, grown in Michigan",301.0,g,,Project09242023135648,"['9_tomato_0_0', '9_tomato_0_1']",['IMG_3966'],2.0,Difficulty capturing the bottom. Think it confused the axes. Tried using toothpicks and lamp,,13:30:08,14:54:00,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': False, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: present and well done, the new RGBD pipeline has been used for the tomatoes.\nModel quality: bungled merge, coarse surface features,\nnot representative of a tomato. This model does not look like a tomato.\n', 'model_merge_required': True, 'model_texture_required': True, 'accepted': False}]",,,
120,54,ca6859be-90c6-4488-825f-b182ebcfdc14,seafood mixed dishes,tuna salad,ground tuna salad,48.0,g,[],Project11262023144044,['54_tunasalad_0_0'],"['IMG_7144', 'IMG_7145']",2.0,"only scanned top because of nature of sample, hole filled at bottom of single scan",True,14:34:11,14:49:49,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  very good\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]","['IMG_7146', 'IMG_7147', 'IMG_7148', 'IMG_7149', 'IMG_7151']",False,
121,50,f1e75821-e41f-4159-9050-def0d981b648,ice cream and frozen dairy desserts,ice cream,Kawartha Death by Chocolate ice cream made with fresh milk and cream,101.0,g,"['fresh  milk, cream, sugars, chocolatey sauce, water, cocoa, modified corn starch, etc']",Project11192023134625,['50_icecream_1'],"['IMG_7055', 'IMG_7056', 'IMG_7057']",3.0,"some minor holes near plate were filled, otherwise great detail",,13:43:56,13:57:25,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  very good, missing bottom but we cannot\nrotate melting ice-cream\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]","['IMG_7064', 'IMG_7065', 'IMG_7066', 'IMG_7067']",,
122,39,6b6a89dc-4687-4c97-93bd-172c451c7eb9,macaroni and cheese,macaroni and cheese,a pile of noodles,16.0,g,[],Project10282023183012,['39_macandcheese_0'],['IMG_6903'],3.0,"good, realistic capture done without a plate - just took the top scan",,18:27:44,18:35:55,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  very good, bottom missing but\nthat was intentional (we cannot turn over a pile of noodles\nwithout losing its integrity)\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]",,,
123,23,e49384a5-5a5b-4c86-a62d-88f1a42eec1c,corn,corn (stick),whole stick of corn with half of skin on,316.0,g,,Project10082023162448,"['23_corn_0_0', '23_corn_0_1']",['IMG_4042'],2.0,"corn looks great on front and scanning was good. However, merging gave abnormal layering of skin and discolouring, as well as some artefacts on surface.",,16:13:43,17:00:48,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality: very good, minor discolorations at the top\nIngredients list: \n', 'model_merge_required': True, 'model_texture_required': True, 'accepted': True}]",,,
125,46,be133275-d544-4f02-a984-fbcc91c6bff6,corn,corn,single piece of corn,0.1,g,[],Project11102023174324,"['46_corn_0_0', '46_corn_0_1']",['IMG_4128'],3.0,"good individual scans, unable to merge using revpoint",False,17:14:15,17:54:48,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  requires merging\n', 'model_merge_required': True, 'model_texture_required': True, 'accepted': False}]","['IMG_4126', 'IMG_4127']",False,
127,29,0c0040a6-af1a-40f9-8238-ffc7920d4edf,frankfurter sandwiches,frankfurter sandwich,speckled hotdog bun and sausage with ketchup in squiggly line,122.0,g,"[{'name': 'sausage', 'weight': 39}, {'name': 'bun', 'weight': 83}]",Project10212023170945,"['29_frankfurter_1_0', '29_frankfurter_1_1']","['IMG_6818', 'IMG_6819', 'IMG_6820', 'IMG_6822']",3.0,great and get the sauce accurately. Some minor discolorations,,16:34:20,17:45:30,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  very good\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]",,,
131,32,d8128a58-5a36-4008-82dc-3201d5171d6f,poultry,chicken thigh,"chicken thigh with big and small leg attached, skin on",208.0,g,,Project10222023165105,"['32_chickenthigh_1_0', '32_chickenthigh_1_1']",['IMG_6834'],2.0,recognizable as chicken but the structure due to the merge is a bit confusing,,16:39:42,17:05:01,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': False, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files:\nModel quality: \nIngredients list: \n', 'model_merge_required': True, 'model_texture_required': True, 'accepted': False}]",,,
133,1,c1ad172c-65a9-4534-885a-7d82fc967604,biscuits muffins quick breads,biscuit,,43.0,g,,Project09152023145340,"['1_biscuit_3_0', '1_biscuit_3_1']",,3.0,,,,,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: no unique-frame markers\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]",,,
135,21,ab485965-5b57-413e-bdbc-666288dc1492,cakes and pies,cake,"The Cheesecake Factory (Classic Cheesecake Selection), Double Chocolate Cheesecake",121.0,g,,Project10062023194444,"['21_cake_1_0', '21_cake_1_1']",['IMG_4029'],3.0,"minor artefacts stemming from the shadow of a dark-object-capture, overall quality is still very good",,19:39:10,20:00:36,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality: very good, bar the 1996 ""Tomb Raider"" quality of the texture\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]",,,
138,18,ed01b8d6-17f1-48b0-8998-60205d5db715,Yogurt,raspberry yogurt,Astro Original Whole Milk Raspberry Yogurt,162.0,g,,Project10022023163052,"['18_yogurt_0_0', '18_yogurt_0_1']","['IMG_4011', 'IMG_4012']",2.0,"good complete scan, but lacks lumpy texture of yogurt.",,16:02:14,16:37:42,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality: borderline accept, the bowl is not represented well\nbut I make the assumption here that we only care about the contents\nof the bowl.\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]",,,
141,21,f3fb1f74-e71c-47b3-804d-2dd3013c33cf,cakes and pies,cake,"The Cheesecake Factory (Classic Cheesecake Selection), Vanilla Bean Cheesecake",134.0,g,,Project10062023192001,"['21_cake_0_0', '21_cake_0_1']",['IMG_4029'],3.0,tasty cake,,19:21:57,19:39:25,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality: very good, bar the 1996 ""Tomb Raider"" quality of the texture\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]",,,
142,1,7c5d66de-1ff1-4489-8dec-48dacacefa40,biscuits muffins quick breads,biscuit,chris ate it before we scanned it LOL,42.0,g,,,"['2023-09-15--17-49-25', '2023-09-15--17-49-08']",,3.0,,,,,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': False, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'Model quality: missing model\n', 'model_merge_required': True, 'model_texture_required': True, 'accepted': False, 'unsalvageable': True}]",,,
146,32,6a32b8c7-b5e8-42dd-b22f-5aa8f470cfd7,poultry,chicken thigh,"chicken thigh with big and small leg attached, skin on",182.0,g,,Project10222023163841,"['32_chickenthigh_0_0', '32_chickenthigh_0_1']",['IMG_6834'],2.0,good on top side but too many holes and some alignment problem on bottom/sides,,16:03:41,16:52:15,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  very good\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]",,,
147,28,aabc3e5d-7f53-4f40-b64e-3622d35321f6,shellfish,shrimp,"slightly frozen cooked shrimp, unpeeled with tail shell on",6.0,g,,Project10212023180958,"['28_shrimp_2_0', '28_shrimp_2_1']",['IMG_6823'],3.0,"individual scan maintained colour, texture, but unable to merge together (some significant holes in each scan)",False,18:04:45,18:33:41,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': False, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: ok\nModel quality: requires merging\n', 'model_merge_required': True, 'model_texture_required': True, 'accepted': False}]",,,
148,19,343a45ed-55bd-46b0-b75d-72f87c34c9de,guacamole,guacomole,organic Wholly Guacomole,54.0,g,,Project10022023164354,['19_guacamole_0_0'],"['IMG_4017', 'IMG_4018']",3.0,great scan of guacamole in small bowl,,16:37:39,16:57:42,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': ""RGBD files: very good\nModel quality: good, the bowl hasn't been captured fully\nbut I assume we care only about the guacamole.\n"", 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]",,,
149,5,80519642-79a6-4898-bea0-b9c6d522a4d1,cookies and brownies,cookie,chocolate chip,42.0,g,,Project09172023153433,"['5_cookie_2_0', '5_cookie_2_1']",,3.0,"Amazing quality, one small black spot on the surface",,15:32:50,15:39:29,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: no unique-feature markers\nModel quality: spectacular.\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]",,,
153,29,78657344-737f-4c61-84bb-64151e87b775,frankfurter sandwiches,frankfurter sandwich,speckled hotdog bun and sausage with ketchup and mustard in vertical lines,112.0,g,"[{'name': 'sausage', 'weight': 36}, {'name': 'bun', 'weight': 76}]",Project10212023164445,"['29_frankfurter_0_0', '29_frankfurter_0_1']","['IMG_6818', 'IMG_6819', 'IMG_6820', 'IMG_6822']",3.0,great representative scan of hotdog and sauces: has some minor irregularities + uneven surface,,16:24:05,17:23:25,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  very good\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]",,,
154,74,f5828469-7799-417e-b255-343923f8dc18,apple,applesauce,applesauce portion in a bowl,138.0,g,[],Project02102024174424,['74_applesauce_0_0'],['IMG_7376'],3.0,"Good capture, captured only the top part of the bowl with the product inside.
Texturing impossible due to RevoScan freezing on texture generation.
",True,17:43:34,18:03:09,,['IMG_7375'],False,
155,46,2c9ca23d-d0b0-4cec-bd66-73a5371d6dc3,corn,corn,single piece of corn,0.1,g,[],Project11102023175702,"['46_corn_1_0', '46_corn_1_1']",['IMG_4128'],3.0,"good individual scans, unable to merge using revpoint",False,17:56:20,18:07:07,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  requires merging\n', 'model_merge_required': True, 'model_texture_required': True, 'accepted': False}]","['IMG_4129', 'IMG_4130']",False,
157,57,0c27d71d-9f54-45a1-a1e1-39b916ec65c3,plant-based protein foods,beans (bowl),single baked bean,0.5455,g,[],Project11272023154654,"['57_bakedbeans_2_0', '57_bakedbeans_2_1']","['IMG_7207', 'IMG_7208', 'IMG_7209']",3.0,"looks more or less like a bean. Point cloud too small though, and texture is alright. Unable to merge 2 sides of bean.",False,15:42:08,16:19:03,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  very good\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]","['IMG_7201', 'IMG_7202', 'IMG_7203', 'IMG_7204', 'IMG_7205']",True,
158,23,e726f61c-94ef-46f4-ac89-2c82773e4061,corn,corn (stick),whole cob of corn with skin half on,341.0,g,,Project10082023170335,"['23_corn_1_0', '23_corn_1_1']",['IMG_4042'],3.0,"recognizable but colours are not always consistent, plus some lumps from merge.",,16:15:06,17:20:55,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality: very good\nIngredients list: \n', 'model_merge_required': True, 'model_texture_required': True, 'accepted': True}]",,,
159,39,2b6cf430-af02-46f5-800a-49205c3deeb9,macaroni and cheese,macaroni and cheese,a single noodle,1.0,g,[],Project10282023183815,['39_macandcheese_1'],['IMG_6903'],2.0,one of the holes was plugged up and couldn't merge,False,18:37:23,18:54:30,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  borderline accept, the merge was not ideal\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]",,,
160,50,a4c870d3-917a-4d35-b146-898bb6831fd2,ice cream and frozen dairy desserts,ice cream,Kawartha Death by Chocolate ice cream made with fresh milk and cream,86.0,g,"['fresh  milk, cream, sugars, chocolatey sauce, water, cocoa, modified corn starch, etc']",Project11192023132317,['50_icecream_0'],"['IMG_7055', 'IMG_7056', 'IMG_7057']",3.0,great texture,,13:29:30,13:46:37,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  very good, missing bottom but we cannot\nrotate melting ice-cream\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]","['IMG_7058', 'IMG_7059', 'IMG_7061', 'IMG_7063']",,
161,68,cf8138a9-e8fa-49b9-8719-d3e1d3609fde,soups,soup,Tim Horton's chicken noodle soup,76.0,g,[],Project02042024173443,['68_soup_0_0'],['IMG_4280'],2.0,poor quality texture but looks like a soup...,False,17:32:44,17:44:04,,['IMG_4279'],True,
162,54,ca47c720-6db0-4823-9c7e-fdc95db08615,seafood mixed dishes,tuna salad,ground tuna salad,48.0,g,[],Project11262023144938,['54_tunasalad_1_0'],"['IMG_7144', 'IMG_7145']",3.0,"only scanned top because of nature of sample, hole filled at bottom of single scan",True,14:50:23,14:55:30,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  very good\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]","['IMG_7154', 'IMG_7155', 'IMG_7156', 'IMG_7157', 'IMG_7158']",False,
164,9,73e175dd-9497-418f-b70b-37e681adaf97,tomatoes (whole),tomatoes (whole),,315.0,g,,Project09242023145450,"['9_tomato_1_0', '9_tomato_1_1']",['IMG_3966'],2.0,Tried using the toothpicks and turned out better,,13:54:30,15:14:13,"[{'done': True, 'rgbd_files_present': False, 'model_quality_acceptable': False, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': ""RGBD files: missing from the dataset copy that I'm working with.\nCheck if they got missed in the sync.\nModel quality: quite bad, might be salvageable performing a manual merge\nbut the quality of the surface on the mesh is quite bad.\n"", 'model_merge_required': True, 'model_texture_required': True, 'accepted': False}]",,,
168,4,c2296aa8-f025-4a9f-ac41-2715fd1a46f1,carrots,carrot,regular carrot,129.0,g,,Project09172023114944,"['4_carrot_1_0', '4_carrot_1_1']",,1.0,"merge completed but unsuccessfully, bad shape. issue: carrot ends are facing the other way",,14:44:48,15:05:36,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': False, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'Model quality: sparse, misaligned point-cloud, merge misaligned, not acceptable for the dataset\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': False}]",,,
170,0,ff7ab60e-ce02-4c61-b5c4-b951df2bf8c1,apple,apple,Red apple,186.0,g,,0_apple_3,"['2023-09-13--19-50-51', '2023-09-13--19-50-32']",,,,,,,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: no unique-frame markers\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]",,,
172,7,69b07b2e-33bf-44ce-a262-c88a32ce0106,bagels and english muffins,bagel,,84.0,g,,Project09172023164140,"['7_bagel_2_0', '7_bagel_2_1']",,3.0,some shadows in the area around the cut between the two bagels,,16:36:12,16:47:13,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': False, 'ingredients_acceptable': True, 'comments': 'RGBD files: the object is pretty much not visible from the sides in\nany of the frames. This is unacceptable.\nModel quality: great.\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': False}]",,,
